question_id,component,rank_or_level,question_type,correct_answer,text,score,answer_type,source_sentence,method,question
middle1029.txt__q0,hint,3,cloze,wonderful things,Near-explicit clue: I believe computers are more ____ than the pyramids.,1.0,,I believe computers are more wonderful than the pyramids.,near-explicit-masked,The travelers passed the time on the train by talking about _ .
middle1029.txt__q1,distractor,1,cloze,they all had different ideas,greatest wonder,0.9557,fact,"They carry out mathematical calculations in seconds that would take a person a hundred years to do."" He turned to the third man and asked, "" What do you think is the greatest wonder in the world?"" The third man thought for a long time, then he said, "" Well, I agree that the pyramids are wonderful, and I agree that computers are wonderful, too.",ml-ranked,The three men could not agree on what the world's greatest wonder was because _ .
middle1029.txt__q1,distractor,2,cloze,they all had different ideas,take a person a hundred years to do,0.9048,fact,"They carry out mathematical calculations in seconds that would take a person a hundred years to do."" He turned to the third man and asked, "" What do you think is the greatest wonder in the world?"" The third man thought for a long time, then he said, "" Well, I agree that the pyramids are wonderful, and I agree that computers are wonderful, too.",ml-ranked,The three men could not agree on what the world's greatest wonder was because _ .
middle1029.txt__q1,distractor,3,cloze,they all had different ideas,But that's a simple thing,0.9034,fact,""" A thermos?"" they exclaimed , "" But that's a simple thing."" "" Oh, no, it's not,"" the third man said, "" in the winter you put in a hot drink and it stays hot, in the summer you put in a cold drink and it stays cold.",ml-ranked,The three men could not agree on what the world's greatest wonder was because _ .
middle1029.txt__q1,hint,1,cloze,they all had different ideas,Look in the beginning of the passage. The answer is a phrase from the passage.,0.3523,,,broad-typed-clue,The three men could not agree on what the world's greatest wonder was because _ .
middle1029.txt__q1,hint,2,cloze,they all had different ideas,"Look around sentence 1 of 13. Match the question focus (three, men, could, not) with these context words: three, world's, greatest, traveling, train, began, conversition.",0.3523,,Three men traveling on a train began a conversition about the world's greatest wonders.,context-keywords,The three men could not agree on what the world's greatest wonder was because _ .
middle1029.txt__q1,hint,3,cloze,they all had different ideas,Near-explicit clue: Three men traveling on a train began a conversition about the world's greatest wonders.,1.0,,Three men traveling on a train began a conversition about the world's greatest wonders.,near-explicit-masked,The three men could not agree on what the world's greatest wonder was because _ .
middle1029.txt__q2,distractor,1,cloze,they had been built with very simple tools,greatest wonder,0.9414,fact,"They carry out mathematical calculations in seconds that would take a person a hundred years to do."" He turned to the third man and asked, "" What do you think is the greatest wonder in the world?"" The third man thought for a long time, then he said, "" Well, I agree that the pyramids are wonderful, and I agree that computers are wonderful, too.",ml-ranked,The first man thought the pyramids were the most wonderful things in the world because _ .
middle1029.txt__q2,distractor,2,cloze,they had been built with very simple tools,I agree that the Egyptian pyramids are wonderful,0.9198,fact,""" I agree that the Egyptian pyramids are wonderful,"" the second man said, "" But I don't think they're the greatest wonder.",ml-ranked,The first man thought the pyramids were the most wonderful things in the world because _ .
middle1029.txt__q2,distractor,3,cloze,they had been built with very simple tools,take a person a hundred years to do,0.9115,fact,"They carry out mathematical calculations in seconds that would take a person a hundred years to do."" He turned to the third man and asked, "" What do you think is the greatest wonder in the world?"" The third man thought for a long time, then he said, "" Well, I agree that the pyramids are wonderful, and I agree that computers are wonderful, too.",ml-ranked,The first man thought the pyramids were the most wonderful things in the world because _ .
middle1029.txt__q2,hint,1,cloze,they had been built with very simple tools,Look in the beginning of the passage. The answer is a phrase from the passage.,0.9971,,,broad-typed-clue,The first man thought the pyramids were the most wonderful things in the world because _ .
middle1029.txt__q2,hint,2,cloze,they had been built with very simple tools,"Look around sentence 4 of 13. Match the question focus (first, man, thought, pyramids) with these context words: remember, people.",0.9971,,And remember: the people who built them had only simple tools.,context-keywords,The first man thought the pyramids were the most wonderful things in the world because _ .
middle1029.txt__q2,hint,3,cloze,they had been built with very simple tools,Near-explicit clue: And remember: the people who ____ them had only ____ ____.,1.0,,And remember: the people who built them had only simple tools.,near-explicit-masked,The first man thought the pyramids were the most wonderful things in the world because _ .
middle1029.txt__q3,distractor,1,cloze,he thought it knew whether it was winter or summer,I agree that the Egyptian pyramids are wonderful,0.928,fact,""" I agree that the Egyptian pyramids are wonderful,"" the second man said, "" But I don't think they're the greatest wonder.",ml-ranked,The third man thought a thermos was the most wonderful thing in the world because _ .
middle1029.txt__q3,distractor,2,cloze,he thought it knew whether it was winter or summer,greatest wonder,0.9368,fact,"They carry out mathematical calculations in seconds that would take a person a hundred years to do."" He turned to the third man and asked, "" What do you think is the greatest wonder in the world?"" The third man thought for a long time, then he said, "" Well, I agree that the pyramids are wonderful, and I agree that computers are wonderful, too.",ml-ranked,The third man thought a thermos was the most wonderful thing in the world because _ .
middle1029.txt__q3,distractor,3,cloze,he thought it knew whether it was winter or summer,take a person a hundred years to do,0.9008,fact,"They carry out mathematical calculations in seconds that would take a person a hundred years to do."" He turned to the third man and asked, "" What do you think is the greatest wonder in the world?"" The third man thought for a long time, then he said, "" Well, I agree that the pyramids are wonderful, and I agree that computers are wonderful, too.",ml-ranked,The third man thought a thermos was the most wonderful thing in the world because _ .
middle1029.txt__q3,hint,1,cloze,he thought it knew whether it was winter or summer,Look in the ending part of the passage. The answer is a phrase from the passage.,1.0,,,broad-typed-clue,The third man thought a thermos was the most wonderful thing in the world because _ .
middle1029.txt__q3,hint,2,cloze,he thought it knew whether it was winter or summer,"Look around sentence 13 of 13. Match the question focus (third, man, thought, thermos) with these context words: thermos, does, know.",1.0,,"How does the thermos know whether it is winter or summer?""",context-keywords,The third man thought a thermos was the most wonderful thing in the world because _ .
middle1029.txt__q3,hint,3,cloze,he thought it knew whether it was winter or summer,"Near-explicit clue: How does the thermos know ____ it is ____ or ____?""",1.0,,"How does the thermos know whether it is winter or summer?""",near-explicit-masked,The third man thought a thermos was the most wonderful thing in the world because _ .
